URN,School level progress 8 score
135598,-0.18
137161,-0.18
137164,-0.18
137576,-0.18
137603,-0.18
137948,-0.18
138204,-0.18
138524,-0.18
139101,-0.18
139697,-0.18
134221,-0.19
135671,-0.19
136104,-0.19
136611,-0.19
136972,-0.19
137008,-0.19
137112,-0.19
137487,-0.19
137782,-0.19
137945,-0.19
138273,-0.19
138845,-0.19
139268,-0.19
139364,-0.19
139464,-0.19
139841,-0.19
139995,-0.19
140106,-0.19
135209,-0.2
135449,-0.2
135866,-0.2
135960,-0.2
136106,-0.2
136405,-0.2
136462,-0.2
136526,-0.2
137674,-0.2
137949,-0.2
138783,-0.2
138885,-0.2
139100,-0.2
136090,-0.21
136185,-0.21
136589,-0.21
136987,-0.21
137079,-0.21
137192,-0.21
137614,-0.21
137942,-0.21
138810,-0.21
139059,-0.21
135007,-0.22
135875,-0.22
136175,-0.22
136876,-0.22
137445,-0.22
137650,-0.22
138167,-0.22
138463,-0.22
138571,-0.22
139028,-0.22
139076,-0.22
135582,-0.23
135761,-0.23
135911,-0.23
136548,-0.23
136620,-0.23
136772,-0.23
136923,-0.23
136982,-0.23
137224,-0.23
137687,-0.23
137966,-0.23
138699,-0.23
138720,-0.23
138937,-0.23
139051,-0.23
135306,-0.24
136282,-0.24
136780,-0.24
137158,-0.24
138053,-0.24
135628,-0.25
136494,-0.25
136623,-0.25
136838,-0.25
137049,-0.25
137193,-0.25
137231,-0.25
137256,-0.25
137399,-0.25
138959,-0.25
139146,-0.25
139765,-0.25
139936,-0.25
136016,-0.26
136032,-0.26
138162,-0.26
138662,-0.26
131896,-0.27
134003,-0.27
135760,-0.27
136324,-0.27
136663,-0.27
136708,-0.27
137608,-0.27
138076,-0.27
138897,-0.27
139656,-0.27
134993,-0.28
135263,-0.28
135305,-0.28
136799,-0.28
136822,-0.28
136858,-0.28
137053,-0.28
137110,-0.28
137234,-0.28
137792,-0.28
137840,-0.28
137849,-0.28
138020,-0.28
138073,-0.28
138624,-0.28
138755,-0.28
139669,-0.28
136164,-0.29
136756,-0.29
137908,-0.29
138660,-0.29
138717,-0.29
138858,-0.29
139072,-0.29
139528,-0.29
139588,-0.29
139589,-0.29
135913,-0.3
135943,-0.3
136574,-0.3
136868,-0.3
136895,-0.3
137696,-0.3
137975,-0.3
138616,-0.3
139956,-0.3
135874,-0.31
135966,-0.31
137613,-0.31
137640,-0.31
137898,-0.31
138355,-0.31
138573,-0.31
139294,-0.31
139402,-0.31
136401,-0.32
136720,-0.32
136867,-0.32
136912,-0.32
137203,-0.32
137408,-0.32
137983,-0.32
138448,-0.32
138836,-0.32
139553,-0.32
139708,-0.32
139766,-0.32
139852,-0.32
139853,-0.32
138831,-0.33
139456,-0.33
136719,-0.34
139231,-0.34
139506,-0.34
139578,-0.34
133114,-0.35
137473,-0.35
138664,-0.35
138734,-0.35
139686,-0.35
139961,-0.35
136183,-0.36
136330,-0.36
137167,-0.36
139102,-0.36
136537,-0.37
137094,-0.37
137321,-0.37
138256,-0.37
138274,-0.37
138312,-0.37
138837,-0.37
139288,-0.37
139938,-0.37
135313,-0.38
136378,-0.38
136681,-0.38
136768,-0.38
136824,-0.38
138821,-0.38
136317,-0.39
136421,-0.39
137106,-0.39
137298,-0.39
138120,-0.39
138217,-0.39
139345,-0.39
135176,-0.4
135804,-0.4
135946,-0.4
135964,-0.4
136745,-0.4
136753,-0.4
137684,-0.4
134253,-0.41
136674,-0.41
137232,-0.41
137630,-0.41
137691,-0.41
138222,-0.41
138567,-0.41
139060,-0.41
135071,-0.42
136871,-0.42
137779,-0.42
138620,-0.42
135070,-0.43
135564,-0.43
135881,-0.43
136894,-0.43
137210,-0.43
137350,-0.43
137799,-0.43
138030,-0.43
138171,-0.43
139957,-0.43
135195,-0.44
135897,-0.44
137222,-0.44
137705,-0.44
138107,-0.44
138287,-0.44
138985,-0.44
139168,-0.44
139234,-0.44
140037,-0.44
135745,-0.45
135865,-0.45
137372,-0.45
137374,-0.45
135583,-0.46
135886,-0.46
137701,-0.46
138641,-0.46
138850,-0.46
139037,-0.46
135401,-0.47
136383,-0.47
137107,-0.47
137414,-0.47
139204,-0.47
139307,-0.47
136716,-0.48
137390,-0.48
138439,-0.48
139946,-0.48
136166,-0.49
136202,-0.49
137317,-0.49
137484,-0.49
137749,-0.49
138466,-0.49
138644,-0.49
138754,-0.49
139130,-0.5
135904,-0.51
135936,-0.51
135508,-0.52
137447,-0.52
139596,-0.52
135372,-0.53
136409,-0.53
136948,-0.53
137364,-0.53
138089,-0.53
138374,-0.53
139690,-0.53
136751,-0.54
137103,-0.54
137946,-0.54
138964,-0.54
139735,-0.54
133769,-0.55
136208,-0.55
137109,-0.55
137165,-0.55
139590,-0.55
131749,-0.56
136089,-0.56
137137,-0.56
137138,-0.56
137548,-0.56
136141,-0.57
137867,-0.57
139821,-0.57
136103,-0.58
136485,-0.58
136591,-0.58
136729,-0.58
138414,-0.58
138418,-0.58
137189,-0.59
135967,-0.6
136182,-0.6
139157,-0.6
139788,-0.61
139049,-0.62
135769,-0.63
135879,-0.63
136142,-0.63
137873,-0.63
139982,-0.63
137706,-0.66
135335,-0.67
135684,-0.67
138351,-0.67
139403,-0.67
134797,-0.68
137066,-0.68
137187,-0.68
139301,-0.68
139953,-0.69
136146,-0.7
139432,-0.7
135941,-0.71
137598,-0.71
138394,-0.71
139054,-0.72
139373,-0.73
139695,-0.73
101857,-0.74
136217,-0.74
138780,-0.74
139792,-0.74
139689,-0.75
140001,-0.75
135622,-0.76
139416,-0.76
139614,-0.76
131898,-0.77
136148,-0.78
139564,-0.79
133768,-0.8
138481,-0.8
136476,-0.81
135981,-0.82
136158,-0.82
139013,-0.82
139536,-0.82
130247,-0.84
138569,-0.85
